sol,L2,RMSE
u1,0.10667311926121203,0.05701039797602256
v1,0.13519305365382256,0.06043365069715023
q1,0.01754636723735289,0.01183102025534131
u2,0.11476710797989809,0.03102349849677999
v2,0.18403382700401183,0.03954614097501865
q2,0.044479544451423436,0.010233580085873441
u3,0.23859832322108432,0.05687598090741601
v3,0.36284523901680127,0.07126361855736443
q3,0.06806115183078232,0.012819027905943447
u4,0.07977301438894234,0.01729413774300881
v4,0.06296602191613353,0.01649068637035573
q4,0.014264752182547998,0.0030090626628226395
